Geolytica,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/geolytica_2e34133b7dad5f13.png,Consumer Lifestyle Data
GiantLeap Interactive,"Account-Based Marketing,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/giantleap-interactive_06411efd52c83d2b.png,"Healthcare Data,,B2B Intent Data,B2B Data,Technographics Data"
GIST,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/gist_6db3dc93aeae393f.png,Environmental Data
Global Pricing Innovations,"Pricing Optimization,Price Segmentation Strategy",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/global-pricing-innovations-limited_f9c87a5cc0aa3b36.png,Healthcare Data
Gmgft,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/gmgft_35c4785e08550fd9.JPG,Trade Data
Goldbaum,"Product Performance Forecasting,Supplier Risk,Portfolio Management,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/goldbaum_70a4f4a0ddd0b36e.png,"Environmental Data,,Stock & Market Data"
Graviton,"Portfolio Management,Account-Based Marketing,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/graviton_f443e092f687ceb7.png,"Economic Data,Stock & Market Data,Business Registry Data"
Grepsr,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/grepsr_37f9f5a59201bda7.png,"Employment Data,Stock & Market Data,Real Estate Data,Economic Data,Firmographic Data,Environmental Data,Real Estate Investment Data"
Handshakes,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/handshakes_c9c3447a96f611b3.png,"Business Registry Data,,Company Data"
HealthWise Data,Targeted Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/healthwise-data_fbeb86572d8c4bf7.jpg,"Demographic Data,Individual Data,,Consumer Lifestyle Data,Healthcare Data,IoMT: Internet of Medical Things"
Helios,"Hedge Fund Management,Supplier Risk,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/helios_8e0b6f8150d3e3f5.jpeg,"Stock & Market Data,,Economic Data"
HG Insights,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/hg-data_6cb1ceb26c9aa660.png,"Technographics Data,,Firmographic Data,Company Data"
Hoeg & Company,"Competitor Analysis,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/hoeg-company_f78c008bccc8fa46.jpg,"Economic Data,Legal and IP Data,Company Data"
HSAT,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/hsat_63b0968486f5bda8.png,"Agriculture Data,Trade Data"
HubioID,"Lead Scoring,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/hubioid_f41b2bc33d35c4b8.png,"B2B Data,"
hubsell,"Account-Based Marketing,Lead Scoring",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/hubsell_4ca422df7127e59d.png,",B2B Data,B2B Intent Data,Company Data"
Humatrics,Targeted Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/humatrics_82031c6679696b4b.jpeg,"Individual Data,Political Data,"
Huq Industries,"Hedge Fund Management,Supplier Risk,Algo-Trading",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/huq_a8b5c8fbc52643f7.png,"Economic Data,,Stock & Market Data"
Iberinform,"B2B Credit Risk,Targeted Marketing,Portfolio Management,Supply Chain Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/iberinform_2b069f824355981f.png,"B2B Data,B2B Marketing Fit Data,Retail & Commerce Data,Company Data,Product Review Data,Economic Data"
IDMerit,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/idmerit_b6813ffb77391a79.png,",Individual Data,Consumer Lifestyle Data,Political Data"
Impact Cubed,"Hedge Fund Management,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/impact-cubed-b95a0cd9-c059-431f-9821-16befc3540cd_29a4091344bc1a86.png,Environmental Data
IMPACTIN,"Hedge Fund Management,Smart Cities",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/impactin_414ec45e6f831592.png,Environmental Data
Infatica,Pricing Optimization,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/infatica_0d2c02f6b2881d87.jpeg,"IP Data,"
Infotanks Media,"Account-Based Marketing,Competitor Analysis,Lead Scoring,Persona Detection/Segmentation,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/infotanks-media_f2b1feb97b194bce.png,",Industry-Specific Data,Healthcare Data,Company Data,Business Registry Data,Firmographic Data,B2B Marketing Fit Data,B2B Data,Technographics Data,B2B Intent Data,Individual Data,Employment Data"
InQuartik,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/inquartik_32acb05fd2055e6c.jpeg,"Legal and IP Data,Patent Data,Legal Case Data,Economic Data"
Intellizence,"Portfolio Management,Supplier Risk,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/intellizence_aa3b33ceade4b6f6.png,"Business Credit Rating Data,,Company Data,Economic Data,B2B Intent Data,Environmental Data,Business Registry Data,News Data"
Interceptd,Mobile App Development,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/interceptd_5089257345067eeb.svg,"Marketing Attribution Data,App Data,"
IPQualityScore (IPQS),"Supplier Risk,MFA Security,Lead Scoring",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/ipqualityscore-ipqs_201fb1831ceeb130.png,"Marketing Attribution Data,Email Data,B2B Data,Consumer Lifestyle Data,"
ISIN2LEI,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/isin2lei_597599ce3d4acc12.jpeg,"Economic Data,,Stock & Market Data,Business Registry Data,Company Data"
ISS ESG,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/iss-esg-62724931-3144-4bd6-9915-d8ac50862980_db494239c47e8da7.png,"Environmental Data,,Climate and Weather Data"
Jobalytics,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/jobalytics_765a41397dbd2ff5.png,"Employment Data,Individual Data"
K-Meta,Competitor Analysis,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/k-meta_4561d0fc1e6907a3.png,"SEO & Web Advertising Data,Web Data,,Website Data,Retail & Commerce Data"
Kaiko,"Hedge Fund Management,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/kaiko-data_a77711e71fb40299.png,"Stock & Market Data,Trade Data,"
Kamba Group,"Algo-Trading,Portfolio Management,AI Financial Planning Program",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/kamba-group_0f22b7907b4d476c.jpg,",Trade Data,Economic Data"
KASPR Datahaus,"Portfolio Management,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/kaspr-datahaus_56a013ec9e525bb5.jpeg,IP Data
Kido Dynamics,Persona Detection/Segmentation,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/kido-dynamics_3e72e72f933355c7.png,"Tourism Data,,Foot Traffic Data"
Kieli,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/kieli_e5ac057dcb8f77b4.jpeg,"Web Data,,Product Review Data"
Knowsis,"Portfolio Management,Predictive Maintenance,Supplier Risk,Competitor Analysis,Hedge Fund Management,Pricing Optimization",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/knowsis.png,"Environmental Data,Social Media Sentiment Data,B2B Intent Data,B2B Data,Social Data,,News Data,Economic Data,Stock & Market Data"
Knuckle Head,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/knuckle-head_806bfb111e84a4a9.jpeg,"Hospitality Industry Data,Medical Imagery Data,Website Data,Stock & Market Data,SEO & Web Advertising Data,,Patient Data,B2B Data,Retail & Commerce Data,Individual Data,Company Data,Clinical Trial Data"
LBDigital,Targeted Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/lbdigital_6dcf1ad58a2d172b.png,"B2B Intent Data,B2B Data,,Firmographic Data"
Lead411,Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/logo-3.png,"Business Credit Rating Data,Technographics Data,Company Data,"
Leadbook,Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/leadbook_fdc7291ec6202145.png,"B2B Data,B2B Intent Data,B2B Marketing Fit Data"
Leads XL,"Lead Scoring,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/leads-xl_acde58088b031e2a.jpeg,",B2B Data,Firmographic Data,B2B Intent Data"
LeadsIntel,Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/leadsintel_63c7d1b957cb809c.jpeg,"B2B Data,B2B Intent Data"
Lepton Software,"Product Performance Forecasting,Supply Chain Management,Predictive Maintenance,Geospatial Effort Prioritization/Store Location Planning,Traffic Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/lepton-software_ef02dbef1be28226.jpeg,"Construction Industry Data,Map Data,GPS Data,,Individual Data,Location Data,Traffic and Routing Data,Demographic Data"
Lifesight,"Persona Detection/Segmentation,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/lifesight_df1bc43dcd97ae0a.png,"Web Data,Website Data,Individual Data,Identity Data,Consumer Lifestyle Data,Email Data,Website Traffic Data,,Consumer Survey Data"
LinkUp Job Search Engine,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/linkup-job-search-engine_e7d84ee89cfc48a0.png,Employment Data
Listkit,Lead Scoring,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/listkit_7b1d7967bff03e90.jpeg,"B2B Intent Data,B2B Data"
Locationscloud,"Targeted Marketing,Geospatial Effort Prioritization/Store Location Planning",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/locationscloud_360ccb3b994c2883.png,"App Data,Demographic Data,Location Data,Online/Mobile Data,Individual Data,,B2B Marketing Fit Data,Identity Data,Retail & Commerce Data"
Locomizer,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/locomizer.jpg,"Location Data,Individual Data,,Retail & Commerce Data"
London Data Unit,"Geospatial Effort Prioritization/Store Location Planning,Supply Chain Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/london-data-unit_edbe752b6e781e79.jpeg,"Map Data,Demographic Data"
Mantheos,"Online and Social Media Performance Tracking,Behavioral Targeting,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/mantheos_f492ac4c72984f49.jpeg,",Individual Data,Employment Data,Social Media Sentiment Data,Firmographic Data,Social Data,Company Data"
MapMyIndia,V2X Technology,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/mapmyindia-by-ce-info-systems-pvt-ltd_1da4e22288575ba9.jpg,"Map Data,Automotive Industry Data,Traffic and Routing Data,"
Mapping Resources,Supplier Risk,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/mapping-resources_15c696e21c99bae4.jpeg,"Marketing Attribution Data,Demographic Data,Legal Case Data"
Marcus Weather,"Supplier Risk,Algo-Trading",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/marcus-weather_159535012684cc6b.png,"Map Data,Climate and Weather Data"
MariTrace,"Supply Chain Management,Smart Ship,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/maritrace_64a672f3d89f2606.png,"Commodity Market Data,Economic Data,GPS Data,Energy Data,Maritime Industry Data,Political Data,"
Market Inside Data,"Hedge Fund Management,Competitor Analysis,Portfolio Management,Product Performance Forecasting,Smart Ship,Trend Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/market-inside-data_026ce80a35674b13.png,"Aerospace Industry Data,Maritime Industry Data,Industry-Specific Data,Company Data,Trade Data,"
Market Report Company,Supply Chain Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/market-report-company_9c75ae5f9be15cd9.jpeg,"Commodity Market Data,Trade Data"
Market Vectors,"Portfolio Management,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/Market%20Vectors_d9e735aab15cb58f.png,"Web Data,,Website Traffic Data,App Data,Social Data"
Matrixian Group,"Traffic Management,Persona Detection/Segmentation",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/matrixian-group_433f5e1f7d7a057f.JPG,"Real Estate Data,Individual Data,,Location Data,B2B Marketing Fit Data,Economic Data,Real Estate Investment Data,Traffic and Routing Data,B2B Data,Demographic Data"
Mattermark,Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/mattermark.png,"Employment Data,,B2B Data,Company Data"
MBI Geodata,"Supplier Risk,Promotion Planning,Online and Social Media Performance Tracking,Geospatial Effort Prioritization/Store Location Planning,Behavioral Targeting,Supply Chain Management,Traffic Management,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/mbi-data_0346fe1f838b8582.jpg,"Consumer Lifestyle Data,Individual Data,Location Data,Industry-Specific Data,Economic Data,Retail & Commerce Data,Political Data,Demographic Data"
Measurable AI,Hedge Fund Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/measurable-ai_ebe086cb8d3003af.png,Individual Data
mediasmart,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/mediasmart_61f2653cd16681c3.svg,"Individual Data,TV Streaming Rating Data,Sports & Entertainment Data,Retail & Commerce Data"
MediaWallah,"Remarketing Campaigns,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/mediawallah_7e3e853ee8a90827.jpg,"Individual Data,Identity Data,Consumer Lifestyle Data,Consumer Survey Data"
MedicoReach,"Targeted Marketing,Trend Forecasting,Lead Scoring",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/medicoreach_f58c4a178bb06abf.png,",B2B Data,Industry-Specific Data,Healthcare Data,Wearable Technology Data,Marketing Attribution Data,Economic Data,B2B Marketing Fit Data,Business Registry Data,Clinical Trial Data,Individual Data,B2B Intent Data,IoMT: Internet of Medical Things"
MedMine,"Pricing Optimization,Product Performance Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/medmine.png,"Company Data,Retail & Commerce Data,"
Meteomatics,"Portfolio Management,Product Performance Forecasting,Promotion Planning",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/meteomatics_a221edd78e5effb2.png,",Climate and Weather Data,Environmental Data,Energy Data,Agriculture Data"
MetricsDriven,"Account-Based Marketing,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/metricsdriven_97baf533d5878107.png,"Hospitality Industry Data,Firmographic Data,B2B Data,Technographics Data,Tourism Data,Web Data,Marketing Attribution Data"
Michelin,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/michelin_0be617d9458840c9.png,Automotive Industry Data
Mintec Global,"Pricing Optimization,Supply Chain Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/mintec-global_38ca09fa05062ca0.png,"Retail & Commerce Data,Product Review Data,,Industry-Specific Data"
Mirage,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/mirage_726a7eb9c80edfec.jpeg,
MixRank,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/mixrank_116f08f0a4d49e10.png,Online/Mobile Data
MoMAGIC,Targeted Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/momagic_ec8ad6fe3f281b2a.png,"Individual Data,App Data"
Money Dashboard,"Trend Forecasting,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/money-dashboard.png,"Individual Data,Retail & Commerce Data,Consumer Survey Data,Consumer Lifestyle Data"
Multimedia Lists,Online and Social Media Performance Tracking,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/multimedia-lists_83a557d540d48a84.png,"Retail & Commerce Data,Individual Data,Consumer Lifestyle Data,Real Estate Investment Data,Political Poll Data,Automotive Industry Data,IP Data,Economic Data,Business Credit Rating Data,Real Estate Data,,Social Data,Email Data"
Netlas.io,"Cybersecurity Posture,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/netlas_fe69db349731e753.png,"SEO & Web Advertising Data,Business Registry Data,IP Data,Website Data"
NetWise,"Online and Social Media Performance Tracking,Account-Based Marketing,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/netwise-data_396f7ec68b9422bc.png,"Marketing Attribution Data,B2B Marketing Fit Data,B2B Data,,Company Data"
New Change FX,"Algo-Trading,Cryptocurrency Investment Strategy,Supplier Risk,Hedge Fund Management,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/new-change-fx_6d0cfc88cbfe7d99.jpg,"Economic Data,Foreign Exchange Market Data,,Stock & Market Data,Trade Data"
Nikkei Market Data,"AI Financial Planning Program,Predictive Maintenance,Trend Forecasting,Algo-Trading",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/nikkei_351c2d88b260696f.jpeg,",Retail & Commerce Data,Consumer Lifestyle Data,Environmental Data,News Data,Stock & Market Data"
OceanFrogs,Targeted Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/oceanfrogs_7e31567a23c2e8ac.jpeg,"B2B Data,Technographics Data,"
OikoLab Weather,"Promotion Planning,AI Financial Planning Program,Product Performance Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/oikolab-weather_dad9c01f91594661.jpeg,Climate and Weather Data
Olsen Data,"Supplier Risk,Portfolio Management,Algo-Trading,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/olsen-data_f515d0f69c4dcea6.jpeg,"Foreign Exchange Market Data,Commodity Market Data,Stock & Market Data,Economic Data"
Olvin,"Predictive Maintenance,Geospatial Effort Prioritization/Store Location Planning",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/olvin_625bd43d5fc9ec5a.png,"Retail & Commerce Data,Foot Traffic Data,Tourism Data"
OnAudience,"Behavioral Targeting,Online and Social Media Performance Tracking,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/onaudience-com.jpg,"Demographic Data,Website Traffic Data,Individual Data,,App Data"
Open People Search,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/open-people-search_ffbbcba93b0a2598.png,"Email Data,Consumer Lifestyle Data,"
OpenAVN,"Supplier Risk,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/openavn_105b35d8475e2b13.jpeg,"IP Data,Political Data,Economic Data"
Oscar Research,Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/oscar-research_23ed09bc3ff04f90.jpg,"Real Estate Data,Political Data,"
Outlogic,"Cybersecurity Posture,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/x-mode_ada3bb1995844a01.jpeg,"GPS Data,Location Data,,Sports & Entertainment Data,Consumer Lifestyle Data,Online/Mobile Data"
Outwardmedia,Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/outwardmedia_9b055c6a2577aba4.png,"B2B Intent Data,B2B Data,"
Owl Analytics,"Supplier Risk,Algo-Trading",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/owl-analytics.png,"Environmental Data,Economic Data"
Oxylabs,"Product Performance Forecasting,V2X Technology",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/oxylabs_99892f3a16e4707a.png,"SEO & Web Advertising Data,Automotive Industry Data,Retail & Commerce Data,Real Estate Data,Economic Data,Tourism Data,Social Data,Business Registry Data,Stock & Market Data,C2C E-Commerce Data,Web Data"
Petabite,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/petabite-gmbh_6b5d77c6ce2c18cf.jpeg,"Maritime Industry Data,Satellite Data"
Photon Commerce,"AI Financial Planning Program,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/photon-commerce_47e1c53e16ffe50d.jpg,",Retail & Commerce Data,Email Data,B2B Data"
Pi Financial Services Intelligence,"Competitor Analysis,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/pi-financial-services-intelligence_cc65f8e1f5f584cc.png,"Legal and IP Data,Economic Data,Web Data,Employment Data,Company Data"
Picasso,Online and Social Media Performance Tracking,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/picasso_c156e8e3a6260ad7.png,"Social Data,News Data,Economic Data"
Predik Data-driven,"Online and Social Media Performance Tracking,Competitor Analysis,Behavioral Targeting,Pricing Optimization,Portfolio Management,Trend Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/centralamericadata_7e56d4b174f44823.jpeg,"Construction Industry Data,Individual Data,Tourism Data,Marketing Attribution Data,Retail & Commerce Data,Location Data,Automotive Industry Data,,Economic Data,Social Data,Web Data,Trade Data,B2B Data,Real Estate Data"
Prominent Contact,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/prominent-contact_3344beb8173a1477.png,",Business Registry Data,B2B Data"
ProspectNow,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/prospectnow_91c40bf9c29545a2.png,Real Estate Data
PTV Group,"Targeted Marketing,Geospatial Effort Prioritization/Store Location Planning,Traffic Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/ptv-group_7a644c6f86a19f9c.jpeg,"Location Data,Tourism Data,Retail & Commerce Data,Industry-Specific Data,,Automotive Industry Data,Traffic and Routing Data"
Pudof,"Smart Ship,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/pudof_44b57aba4601db02.jpeg,"Maritime Industry Data,Property Ownership Data"
Pynk,"Algo-Trading,Portfolio Management,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/pynk_d303ced28545a9cf.png,"Commodity Market Data,Economic Data,,Stock & Market Data"
Quant IP,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/quant-ip_a18357510ef384cd.png,"Company Data,Patent Data,Economic Data"
QUICK,Supplier Risk,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/quick_9fb6b297e7858455.jpg,"Stock & Market Data,Business Credit Rating Data,Economic Data,"
Rabbu,"Property Future Value & Mortgage Value Assessment,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/rabbu_30737b9c1d11d5e0.jpeg,"Real Estate Data,Real Estate Investment Data"
Radius+,"Supply Chain Management,Product Performance Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/Radius%2B_f106c5722b1eea88.png,"B2B Intent Data,Retail & Commerce Data,Demographic Data"
RampedUp Global Data Solutions,"Account-Based Marketing,Online and Social Media Performance Tracking",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/1430.png,"Email Data,Business Registry Data,B2B Data,Social Data,Company Data,"
RDA Index,"Cryptocurrency Investment Strategy,Hedge Fund Management,Pricing Optimization,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/rda-index_fbc1501dcc602899.png,"Consumer Survey Data,,Stock & Market Data,Retail & Commerce Data"
